證券代碼,年月日,本益比-TSE
1737 臺鹽,2017/03/22,19.18
910322 康師傅-DR,2017/03/22,0
911616 杜康-DR,2017/03/22,0
1201 味全,2017/03/21,0
1203 味王,2017/03/21,22.67
1210 大成,2017/03/21,12.82
1213 大飲,2017/03/21,163.18
1215 卜蜂,2017/03/21,11.32
1216 統一,2017/03/21,22.15
1217 愛之味,2017/03/21,0
1218 泰山,2017/03/21,16.12
1219 福壽,2017/03/21,29.82
1220 台榮,2017/03/21,12.31
1225 福懋油,2017/03/21,14.84
1227 佳格,2017/03/21,26.4
1229 聯華,2017/03/21,12.62
1231 聯華食,2017/03/21,11.65
1232 大統益,2017/03/21,16.89
1233 天仁,2017/03/21,17.45
1234 黑松,2017/03/21,12.96
1235 興泰,2017/03/21,6.1
1236 宏亞,2017/03/21,26.38
1256 鮮活果汁-KY,2017/03/21,17.96
1702 南僑,2017/03/21,12.65
1737 臺鹽,2017/03/21,19.21
910322 康師傅-DR,2017/03/21,0
911616 杜康-DR,2017/03/21,0
1201 味全,2017/03/20,0
1203 味王,2017/03/20,22.67
1210 大成,2017/03/20,12.72
1213 大飲,2017/03/20,163.64
1215 卜蜂,2017/03/20,11.32
1216 統一,2017/03/20,22.08
1217 愛之味,2017/03/20,0
1218 泰山,2017/03/20,16.12
1219 福壽,2017/03/20,29.82
1220 台榮,2017/03/20,12.14
1225 福懋油,2017/03/20,15.13
1227 佳格,2017/03/20,26.36
1229 聯華,2017/03/20,12.75
1231 聯華食,2017/03/20,11.53
1232 大統益,2017/03/20,16.89
1233 天仁,2017/03/20,17.5
1234 黑松,2017/03/20,12.94
1235 興泰,2017/03/20,6.1
1236 宏亞,2017/03/20,26.45
1256 鮮活果汁-KY,2017/03/20,18.4
1702 南僑,2017/03/20,12.73
1737 臺鹽,2017/03/20,19.21
910322 康師傅-DR,2017/03/20,0
911616 杜康-DR,2017/03/20,0
1201 味全,2017/03/17,0
1203 味王,2017/03/17,22.57
1210 大成,2017/03/17,12.76
1213 大飲,2017/03/17,162.73
1215 卜蜂,2017/03/17,11.36
1216 統一,2017/03/17,22.35
1217 愛之味,2017/03/17,0
1218 泰山,2017/03/17,16.22
1219 福壽,2017/03/17,29.91
1220 台榮,2017/03/17,12.14
1225 福懋油,2017/03/17,15.25
1227 佳格,2017/03/17,26.64
1229 聯華,2017/03/17,12.88
1231 聯華食,2017/03/17,11.53
1232 大統益,2017/03/17,16.98
1233 天仁,2017/03/17,17.64
1234 黑松,2017/03/17,12.98
1235 興泰,2017/03/17,6.07
1236 宏亞,2017/03/17,26.59
1256 鮮活果汁-KY,2017/03/17,18.9
1702 南僑,2017/03/17,12.79
1737 臺鹽,2017/03/17,19.28
910322 康師傅-DR,2017/03/17,0
911616 杜康-DR,2017/03/17,0
1201 味全,2017/03/16,0
1203 味王,2017/03/16,22.57
1210 大成,2017/03/16,12.65
1213 大飲,2017/03/16,163.64
1215 卜蜂,2017/03/16,11.36
1216 統一,2017/03/16,21.92
1217 愛之味,2017/03/16,0
1218 泰山,2017/03/16,16.17
1219 福壽,2017/03/16,29.91
1220 台榮,2017/03/16,12.09
1225 福懋油,2017/03/16,15.13
1227 佳格,2017/03/16,26.43
1229 聯華,2017/03/16,12.62
1231 聯華食,2017/03/16,11.49
1232 大統益,2017/03/16,17.04
1233 天仁,2017/03/16,17.64
1234 黑松,2017/03/16,12.94
1235 興泰,2017/03/16,6.08
1236 宏亞,2017/03/16,26.67
1256 鮮活果汁-KY,2017/03/16,18.02
1702 南僑,2017/03/16,12.73
1737 臺鹽,2017/03/16,19.25
910322 康師傅-DR,2017/03/16,0
911616 杜康-DR,2017/03/16,0
1201 味全,2017/03/15,0
1203 味王,2017/03/15,22.57
1210 大成,2017/03/15,12.63
1213 大飲,2017/03/15,163.64
1215 卜蜂,2017/03/15,11.25
1216 統一,2017/03/15,21.69
1217 愛之味,2017/03/15,0
1218 泰山,2017/03/15,16.17
1219 福壽,2017/03/15,29.91
1220 台榮,2017/03/15,12.03
1225 福懋油,2017/03/15,15.16
1227 佳格,2017/03/15,26.36
1229 聯華,2017/03/15,12.54
1231 聯華食,2017/03/15,11.49
1232 大統益,2017/03/15,16.89
1233 天仁,2017/03/15,17.57
1234 黑松,2017/03/15,12.88
1235 興泰,2017/03/15,6.09
1236 宏亞,2017/03/15,26.74
1256 鮮活果汁-KY,2017/03/15,17.4
1702 南僑,2017/03/15,12.79
1737 臺鹽,2017/03/15,19.06
910322 康師傅-DR,2017/03/15,0
911616 杜康-DR,2017/03/15,0
1201 味全,2017/03/14,0
1203 味王,2017/03/14,22.67
1210 大成,2017/03/14,12.76
1213 大飲,2017/03/14,163.18
1215 卜蜂,2017/03/14,11.42
1216 統一,2017/03/14,21.69
1217 愛之味,2017/03/14,0
1218 泰山,2017/03/14,16.17
1219 福壽,2017/03/14,29.91
1220 台榮,2017/03/14,12.09
1225 福懋油,2017/03/14,15.13
1227 佳格,2017/03/14,26.43
1229 聯華,2017/03/14,12.54
1231 聯華食,2017/03/14,11.47
1232 大統益,2017/03/14,16.7
1233 天仁,2017/03/14,17.48
1234 黑松,2017/03/14,12.79
1235 興泰,2017/03/14,6.11
1236 宏亞,2017/03/14,26.52
1256 鮮活果汁-KY,2017/03/14,17.58
1702 南僑,2017/03/14,12.65
1737 臺鹽,2017/03/14,19.18
910322 康師傅-DR,2017/03/14,0
911616 杜康-DR,2017/03/14,0
1201 味全,2017/03/13,0
1203 味王,2017/03/13,22.67
1210 大成,2017/03/13,12.67
1213 大飲,2017/03/13,162.73
1215 卜蜂,2017/03/13,13.72
1216 統一,2017/03/13,21.08
1217 愛之味,2017/03/13,0
1218 泰山,2017/03/13,16.22
1219 福壽,2017/03/13,29.91
1220 台榮,2017/03/13,12.03
1225 福懋油,2017/03/13,14.87
1227 佳格,2017/03/13,26.4
1229 聯華,2017/03/13,12.36
1231 聯華食,2017/03/13,11.42
1232 大統益,2017/03/13,16.66
1233 天仁,2017/03/13,17.48
1234 黑松,2017/03/13,12.75
1235 興泰,2017/03/13,6.07
1236 宏亞,2017/03/13,26.45
1256 鮮活果汁-KY,2017/03/13,17.52
1702 南僑,2017/03/13,12.53
1737 臺鹽,2017/03/13,19.12
910322 康師傅-DR,2017/03/13,0
911616 杜康-DR,2017/03/13,0
1201 味全,2017/03/10,0
1203 味王,2017/03/10,22.71
1210 大成,2017/03/10,12.63
1213 大飲,2017/03/10,163.64
1215 卜蜂,2017/03/10,13.59
1216 統一,2017/03/10,21.08
1217 愛之味,2017/03/10,0
1218 泰山,2017/03/10,16.17
1219 福壽,2017/03/10,29.73
1220 台榮,2017/03/10,11.98
1225 福懋油,2017/03/10,14.87
1227 佳格,2017/03/10,26.5
1229 聯華,2017/03/10,12.2
1231 聯華食,2017/03/10,11.42
1232 大統益,2017/03/10,16.49
1233 天仁,2017/03/10,17.48
1234 黑松,2017/03/10,12.79
1235 興泰,2017/03/10,6.03
1236 宏亞,2017/03/10,26.81
1256 鮮活果汁-KY,2017/03/10,17.77
1702 南僑,2017/03/10,12.51
1737 臺鹽,2017/03/10,19.15
910322 康師傅-DR,2017/03/10,0
911616 杜康-DR,2017/03/10,0
1201 味全,2017/03/09,0
1203 味王,2017/03/09,22.95
1210 大成,2017/03/09,12.63
1213 大飲,2017/03/09,163.18
1215 卜蜂,2017/03/09,13.49
1216 統一,2017/03/09,21.42
1217 愛之味,2017/03/09,0
1218 泰山,2017/03/09,16.28
1219 福壽,2017/03/09,29.73
1220 台榮,2017/03/09,11.98
1225 福懋油,2017/03/09,14.84
1227 佳格,2017/03/09,26.29
1229 聯華,2017/03/09,12.28
1231 聯華食,2017/03/09,11.47
1232 大統益,2017/03/09,16.55
1233 天仁,2017/03/09,17.64
1234 黑松,2017/03/09,12.75
1235 興泰,2017/03/09,6.03
1236 宏亞,2017/03/09,26.67
1256 鮮活果汁-KY,2017/03/09,17.77
1702 南僑,2017/03/09,12.59
1737 臺鹽,2017/03/09,19.12
910322 康師傅-DR,2017/03/09,0
911616 杜康-DR,2017/03/09,0
1201 味全,2017/03/08,0
1203 味王,2017/03/08,23
1210 大成,2017/03/08,12.91
1213 大飲,2017/03/08,163.64
1215 卜蜂,2017/03/08,13.54
1216 統一,2017/03/08,21.81
1217 愛之味,2017/03/08,0
1218 泰山,2017/03/08,16.44
1219 福壽,2017/03/08,29.64
1220 台榮,2017/03/08,11.98
1225 福懋油,2017/03/08,14.73
1227 佳格,2017/03/08,26.61
1229 聯華,2017/03/08,12.28
1231 聯華食,2017/03/08,11.47
1232 大統益,2017/03/08,16.55
1233 天仁,2017/03/08,17.69
1234 黑松,2017/03/08,12.79
1235 興泰,2017/03/08,6.08
1236 宏亞,2017/03/08,26.88
1256 鮮活果汁-KY,2017/03/08,17.71
1702 南僑,2017/03/08,12.67
1737 臺鹽,2017/03/08,19.25
910322 康師傅-DR,2017/03/08,0
911616 杜康-DR,2017/03/08,0
1201 味全,2017/03/07,0
1203 味王,2017/03/07,23.05
1210 大成,2017/03/07,12.97
1213 大飲,2017/03/07,164.09
1215 卜蜂,2017/03/07,13.57
1216 統一,2017/03/07,21.85
1217 愛之味,2017/03/07,0
1218 泰山,2017/03/07,16.44
1219 福壽,2017/03/07,29.82
1220 台榮,2017/03/07,11.98
1225 福懋油,2017/03/07,14.69
1227 佳格,2017/03/07,26.78
1229 聯華,2017/03/07,12.28
1231 聯華食,2017/03/07,11.42
1232 大統益,2017/03/07,16.42
1233 天仁,2017/03/07,17.57
1234 黑松,2017/03/07,12.79
1235 興泰,2017/03/07,6.05
1236 宏亞,2017/03/07,26.74
1256 鮮活果汁-KY,2017/03/07,17.77
1702 南僑,2017/03/07,12.71
1737 臺鹽,2017/03/07,19.4
910322 康師傅-DR,2017/03/07,0
911616 杜康-DR,2017/03/07,0
1201 味全,2017/03/06,0
1203 味王,2017/03/06,22.86
1210 大成,2017/03/06,12.87
1213 大飲,2017/03/06,163.64
1215 卜蜂,2017/03/06,13.67
1216 統一,2017/03/06,21.81
1217 愛之味,2017/03/06,0
1218 泰山,2017/03/06,16.44
1219 福壽,2017/03/06,29.91
1220 台榮,2017/03/06,12.03
1225 福懋油,2017/03/06,14.69
1227 佳格,2017/03/06,26.89
1229 聯華,2017/03/06,12.25
1231 聯華食,2017/03/06,11.42
1232 大統益,2017/03/06,16.32
1233 天仁,2017/03/06,17.5
1234 黑松,2017/03/06,12.77
1235 興泰,2017/03/06,6.05
1236 宏亞,2017/03/06,26.96
1256 鮮活果汁-KY,2017/03/06,17.9
1702 南僑,2017/03/06,12.75
1737 臺鹽,2017/03/06,19.34
910322 康師傅-DR,2017/03/06,0
911616 杜康-DR,2017/03/06,0
1201 味全,2017/03/03,0
1203 味王,2017/03/03,22.81
1210 大成,2017/03/03,12.35
1213 大飲,2017/03/03,163.64
1215 卜蜂,2017/03/03,12.86
1216 統一,2017/03/03,21.65
1217 愛之味,2017/03/03,0
1218 泰山,2017/03/03,16.22
1219 福壽,2017/03/03,29.73
1220 台榮,2017/03/03,12.03
1225 福懋油,2017/03/03,14.69
1227 佳格,2017/03/03,26.96
1229 聯華,2017/03/03,12.25
1231 聯華食,2017/03/03,11.47
1232 大統益,2017/03/03,16.32
1233 天仁,2017/03/03,17.5
1234 黑松,2017/03/03,12.79
1235 興泰,2017/03/03,6.03
1236 宏亞,2017/03/03,27.1
1256 鮮活果汁-KY,2017/03/03,16.9
1702 南僑,2017/03/03,12.73
1737 臺鹽,2017/03/03,19.4
910322 康師傅-DR,2017/03/03,0
911616 杜康-DR,2017/03/03,0
1201 味全,2017/03/02,0
1203 味王,2017/03/02,22.76
1210 大成,2017/03/02,12.44
1213 大飲,2017/03/02,164.55
1215 卜蜂,2017/03/02,12.42
1216 統一,2017/03/02,21.73
1217 愛之味,2017/03/02,0
1218 泰山,2017/03/02,16.06
1219 福壽,2017/03/02,29.82
1220 台榮,2017/03/02,12.14
1225 福懋油,2017/03/02,14.82
1227 佳格,2017/03/02,27.03
1229 聯華,2017/03/02,12.25
1231 聯華食,2017/03/02,11.46
1232 大統益,2017/03/02,16.27
1233 天仁,2017/03/02,17.55
1234 黑松,2017/03/02,12.79
1235 興泰,2017/03/02,6.03
1236 宏亞,2017/03/02,26.81
1256 鮮活果汁-KY,2017/03/02,17.15
1702 南僑,2017/03/02,12.69
1737 臺鹽,2017/03/02,19.53
910322 康師傅-DR,2017/03/02,0
911616 杜康-DR,2017/03/02,0
1201 味全,2017/03/01,0
1203 味王,2017/03/01,22.81
1210 大成,2017/03/01,12.35
1213 大飲,2017/03/01,163.18
1215 卜蜂,2017/03/01,12.05
1216 統一,2017/03/01,21.73
1217 愛之味,2017/03/01,0
1218 泰山,2017/03/01,16.33
1219 福壽,2017/03/01,29.91
1220 台榮,2017/03/01,12.14
1225 福懋油,2017/03/01,14.69
1227 佳格,2017/03/01,27.03
1229 聯華,2017/03/01,12.33
1231 聯華食,2017/03/01,11.49
1232 大統益,2017/03/01,16.27
1233 天仁,2017/03/01,17.71
1234 黑松,2017/03/01,12.81
1235 興泰,2017/03/01,6.02
1236 宏亞,2017/03/01,26.81
1256 鮮活果汁-KY,2017/03/01,17.02
1702 南僑,2017/03/01,12.77
1737 臺鹽,2017/03/01,19.59
910322 康師傅-DR,2017/03/01,0
911616 杜康-DR,2017/03/01,0
1201 味全,2017/02/24,0
1203 味王,2017/02/24,22.86
1210 大成,2017/02/24,12.52
1213 大飲,2017/02/24,162.27
1215 卜蜂,2017/02/24,12.14
1216 統一,2017/02/24,21
1217 愛之味,2017/02/24,0
1218 泰山,2017/02/24,16.49
1219 福壽,2017/02/24,30
1220 台榮,2017/02/24,12.2
1225 福懋油,2017/02/24,14.81
1227 佳格,2017/02/24,26.92
1229 聯華,2017/02/24,12.28
1231 聯華食,2017/02/24,11.47
1232 大統益,2017/02/24,16.29
1233 天仁,2017/02/24,17.71
1234 黑松,2017/02/24,12.61
1235 興泰,2017/02/24,6.01
1236 宏亞,2017/02/24,26.96
1256 鮮活果汁-KY,2017/02/24,16.27
1702 南僑,2017/02/24,12.73
1737 臺鹽,2017/02/24,19.5
910322 康師傅-DR,2017/02/24,0
911616 杜康-DR,2017/02/24,0
1201 味全,2017/02/23,0
1203 味王,2017/02/23,22.76
1210 大成,2017/02/23,12.35
1213 大飲,2017/02/23,162.27
1215 卜蜂,2017/02/23,11.76
1216 統一,2017/02/23,20.96
1217 愛之味,2017/02/23,0
1218 泰山,2017/02/23,16.65
1219 福壽,2017/02/23,29.55
1220 台榮,2017/02/23,12.2
1225 福懋油,2017/02/23,14.69
1227 佳格,2017/02/23,26.92
1229 聯華,2017/02/23,12.12
1231 聯華食,2017/02/23,11.51
1232 大統益,2017/02/23,16.21
1233 天仁,2017/02/23,17.94
1234 黑松,2017/02/23,12.61
1235 興泰,2017/02/23,6.02
1236 宏亞,2017/02/23,26.96
1256 鮮活果汁-KY,2017/02/23,16.46
1702 南僑,2017/02/23,12.75
1737 臺鹽,2017/02/23,19.53
910322 康師傅-DR,2017/02/23,0
911616 杜康-DR,2017/02/23,0
1201 味全,2017/02/22,0
1203 味王,2017/02/22,22.9
1210 大成,2017/02/22,12.31
1213 大飲,2017/02/22,164.55
1215 卜蜂,2017/02/22,11.82
1216 統一,2017/02/22,21.08
1217 愛之味,2017/02/22,0
1218 泰山,2017/02/22,16.54
1219 福壽,2017/02/22,29.82
1220 台榮,2017/02/22,12.25
1225 福懋油,2017/02/22,14.78
1227 佳格,2017/02/22,27.03
1229 聯華,2017/02/22,12.28
1231 聯華食,2017/02/22,11.53
1232 大統益,2017/02/22,16.23
1233 天仁,2017/02/22,18.1
1234 黑松,2017/02/22,12.61
1235 興泰,2017/02/22,6
1236 宏亞,2017/02/22,38.96
1256 鮮活果汁-KY,2017/02/22,16.65
1702 南僑,2017/02/22,12.77
1737 臺鹽,2017/02/22,19.65
910322 康師傅-DR,2017/02/22,0
911616 杜康-DR,2017/02/22,0
1201 味全,2017/02/21,0
1203 味王,2017/02/21,22.9
1210 大成,2017/02/21,12.22
1213 大飲,2017/02/21,163.18
1215 卜蜂,2017/02/21,11.78
1216 統一,2017/02/21,20.96
1217 愛之味,2017/02/21,0
1218 泰山,2017/02/21,16.65
1219 福壽,2017/02/21,29.82
1220 台榮,2017/02/21,12.31
1225 福懋油,2017/02/21,14.87
1227 佳格,2017/02/21,26.92
1229 聯華,2017/02/21,12.28
1231 聯華食,2017/02/21,11.49
1232 大統益,2017/02/21,16.21
1233 天仁,2017/02/21,17.8
1234 黑松,2017/02/21,12.61
1235 興泰,2017/02/21,6.05
1236 宏亞,2017/02/21,38.96
1256 鮮活果汁-KY,2017/02/21,16.77
1702 南僑,2017/02/21,12.83
1737 臺鹽,2017/02/21,19.31
910322 康師傅-DR,2017/02/21,0
911616 杜康-DR,2017/02/21,0
1201 味全,2017/02/20,0
1203 味王,2017/02/20,22.86
1210 大成,2017/02/20,12.28
1213 大飲,2017/02/20,161.82
1215 卜蜂,2017/02/20,11.76
1216 統一,2017/02/20,20.96
1217 愛之味,2017/02/20,0
1218 泰山,2017/02/20,16.54
1219 福壽,2017/02/20,29.82
1220 台榮,2017/02/20,12.25
1225 福懋油,2017/02/20,14.79
1227 佳格,2017/02/20,27.03
1229 聯華,2017/02/20,12.3
1231 聯華食,2017/02/20,11.49
1232 大統益,2017/02/20,16.27
1233 天仁,2017/02/20,17.66
1234 黑松,2017/02/20,12.6
1235 興泰,2017/02/20,6.05
1236 宏亞,2017/02/20,38.85
1256 鮮活果汁-KY,2017/02/20,17.08
1702 南僑,2017/02/20,12.97
1737 臺鹽,2017/02/20,19.37
910322 康師傅-DR,2017/02/20,0
911616 杜康-DR,2017/02/20,0
1201 味全,2017/02/18,0
1203 味王,2017/02/18,23.05
1210 大成,2017/02/18,12.39
1213 大飲,2017/02/18,160.91
1215 卜蜂,2017/02/18,11.87
1216 統一,2017/02/18,21
1217 愛之味,2017/02/18,0
1218 泰山,2017/02/18,16.6
1219 福壽,2017/02/18,29.36
1220 台榮,2017/02/18,12.36
1225 福懋油,2017/02/18,14.79
1227 佳格,2017/02/18,27.1
1229 聯華,2017/02/18,12.36
1231 聯華食,2017/02/18,11.49
1232 大統益,2017/02/18,16.32
1233 天仁,2017/02/18,17.52
1234 黑松,2017/02/18,12.6
1235 興泰,2017/02/18,6.05
1236 宏亞,2017/02/18,38.85
1256 鮮活果汁-KY,2017/02/18,17.33
1702 南僑,2017/02/18,12.79
1737 臺鹽,2017/02/18,19.47
910322 康師傅-DR,2017/02/18,0
911616 杜康-DR,2017/02/18,0
1201 味全,2017/02/17,0
1203 味王,2017/02/17,23.19
1210 大成,2017/02/17,12.16
1213 大飲,2017/02/17,162.73
1215 卜蜂,2017/02/17,11.78
1216 統一,2017/02/17,21.19
1217 愛之味,2017/02/17,0
1218 泰山,2017/02/17,16.54
1219 福壽,2017/02/17,29.64
1220 台榮,2017/02/17,12.36
1225 福懋油,2017/02/17,14.69
1227 佳格,2017/02/17,27.13
1229 聯華,2017/02/17,12.36
1231 聯華食,2017/02/17,11.44
1232 大統益,2017/02/17,16.32
1233 天仁,2017/02/17,17.48
1234 黑松,2017/02/17,12.6
1235 興泰,2017/02/17,6.02
1236 宏亞,2017/02/17,38.96
1256 鮮活果汁-KY,2017/02/17,17.46
1702 南僑,2017/02/17,12.81
1737 臺鹽,2017/02/17,19.59
910322 康師傅-DR,2017/02/17,0
911616 杜康-DR,2017/02/17,0
1201 味全,2017/02/16,0
1203 味王,2017/02/16,22.76
1210 大成,2017/02/16,12.11
1213 大飲,2017/02/16,163.18
1215 卜蜂,2017/02/16,11.66
1216 統一,2017/02/16,21.35
1217 愛之味,2017/02/16,0
1218 泰山,2017/02/16,16.6
1219 福壽,2017/02/16,29.36
1220 台榮,2017/02/16,12.25
1225 福懋油,2017/02/16,14.84
1227 佳格,2017/02/16,27.31
1229 聯華,2017/02/16,12.33
1231 聯華食,2017/02/16,11.44
1232 大統益,2017/02/16,16.36
1233 天仁,2017/02/16,17.38
1234 黑松,2017/02/16,12.56
1235 興泰,2017/02/16,6.04
1236 宏亞,2017/02/16,38.54
1256 鮮活果汁-KY,2017/02/16,17.21
1702 南僑,2017/02/16,12.89
1737 臺鹽,2017/02/16,19.62
910322 康師傅-DR,2017/02/16,0
911616 杜康-DR,2017/02/16,0
1201 味全,2017/02/15,0
1203 味王,2017/02/15,23.1
1210 大成,2017/02/15,12.24
1213 大飲,2017/02/15,163.18
1215 卜蜂,2017/02/15,11.86
1216 統一,2017/02/15,21.15
1217 愛之味,2017/02/15,0
1218 泰山,2017/02/15,16.6
1219 福壽,2017/02/15,29.18
1220 台榮,2017/02/15,12.2
1225 福懋油,2017/02/15,14.76
1227 佳格,2017/02/15,27.45
1229 聯華,2017/02/15,12.41
1231 聯華食,2017/02/15,11.44
1232 大統益,2017/02/15,16.4
